Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,JobSearchStatus,LastNewJob,AssessJob1,AssessJob2,AssessJob3,AssessJob4,AssessJob5,AssessJob6,AssessJob7,AssessJob8,AssessJob9,AssessJob10,AssessBenefits1,AssessBenefits2,AssessBenefits3,AssessBenefits4,AssessBenefits5,AssessBenefits6,AssessBenefits7,AssessBenefits8,AssessBenefits9,AssessBenefits10,AssessBenefits11,JobContactPriorities1,JobContactPriorities2,JobContactPriorities3,JobContactPriorities4,JobContactPriorities5,JobEmailPriorities1,JobEmailPriorities2,JobEmailPriorities3,JobEmailPriorities4,JobEmailPriorities5,JobEmailPriorities6,JobEmailPriorities7,UpdateCV,Currency,Salary,SalaryType,ConvertedSalary,CurrencySymbol,CommunicationTools,TimeFullyProductive,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,AgreeDisagree1,AgreeDisagree2,AgreeDisagree3,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,Methodology,VersionControl,CheckInCode,AdBlocker,AdBlockerDisable,AdBlockerReasons,AdsAgreeDisagree1,AdsAgreeDisagree2,AdsAgreeDisagree3,AdsActions,AdsPriorities1,AdsPriorities2,AdsPriorities3,AdsPriorities4,AdsPriorities5,AdsPriorities6,AdsPriorities7,AIDangerous,AIInteresting,AIResponsible,AIFuture,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember,HypotheticalTools1,HypotheticalTools2,HypotheticalTools3,HypotheticalTools4,HypotheticalTools5,WakeTime,HoursComputer,HoursOutside,SkipMeals,ErgonomicDevices,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,MilitaryUS,SurveyTooLong,SurveyEasy
91,Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;DevOps specialist;Educator or academic researcher;QA or test developer;System administrator,12-14 years,6-8 years,Moderately satisfied,Neither satisfied nor dissatisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,5.0,9.0,4.0,10.0,6.0,1.0,3.0,7.0,2.0,8.0,4.0,11.0,5.0,6.0,3.0,9.0,10.0,2.0,7.0,8.0,1.0,2.0,1.0,3.0,5.0,4.0,,,,,,,,A recruiter contacted me,U.S. dollars ($),120000.0,Yearly,120000.0,USD,"Confluence;Jira;Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)",One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Pre-scheduled tutoring or mentoring sessions with a friend or colleague;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",I already had a full-time job as a developer when I began the program,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;To build my professional network",Disagree,Strongly disagree,Strongly disagree,C;F#;Haskell;Python;Scala,C;F#;Haskell;Java;Python;R,MySQL;PostgreSQL;Apache HBase;Apache Hive;Amazon Redshift;Neo4j,,IBM Cloud or Watson,,Hadoop;Spark;Torch/PyTorch,Hadoop;Spark;Torch/PyTorch,Notepad++;Vim,BSD/Unix,2,Agile;Kanban,Git;Subversion;Zip file back-ups,Multiple times per day,Yes,No,,Strongly disagree,Strongly disagree,Strongly agree,Stopped going to a website because of their advertising,,,,,,,,,Increasing automation of jobs,,I'm worried about the dangers more than I'm excited about the possibilities.,No,"Yes, and publicly",,Yes,7,Less than once per month or monthly,Yes,Less than once per month or monthly,Yes,"No, I have one but it's out of date",5,Yes,Somewhat interested,Not at all interested,A little bit interested,A little bit interested,A little bit interested,Between 5:00 - 6:00 AM,9 - 12 hours,3 - 4 hours,3 - 4 times per week,,Daily or almost every day,Male,Straight or heterosexual,"Professional degree (JD, MD, etc.)",White or of European descent,25 - 34 years old,No,No,The survey was too long,Somewhat easy
129,Yes,Yes,United States,"Yes, full-time",Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist;Full-stack developer;Game or graphics developer;Student,6-8 years,0-2 years,Neither satisfied nor dissatisfied,Moderately dissatisfied,Working in a career completely unrelated to software development,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,5.0,4.0,8.0,7.0,1.0,2.0,3.0,10.0,6.0,9.0,1.0,2.0,7.0,10.0,8.0,3.0,4.0,9.0,11.0,5.0,6.0,5.0,1.0,4.0,2.0,3.0,2.0,5.0,3.0,6.0,1.0,4.0,7.0,My job status or other personal status changed,U.S. dollars ($),120000.0,Yearly,120000.0,USD,"Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)",One to three months,"Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",,To win prizes or cash awards;Because I find it enjoyable,Agree,Disagree,Disagree,Assembly;C++;JavaScript;Matlab;Perl;Python;SQL;Swift;HTML;CSS,C++;Go;JavaScript;Python;Ocaml;HTML;CSS;Bash/Shell,MySQL;PostgreSQL,PostgreSQL,Firebase,,,,IPython / Jupyter;Sublime Text,Windows,1,Scrum,Git,A few times per week,Yes,Yes,The website I was visiting asked me to disable it;I wanted to support the website I was visiting by viewing their ads,Somewhat disagree,Somewhat disagree,Strongly agree,Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising;Paid to access a website advertisement-free,7.0,4.0,3.0,5.0,6.0,1.0,2.0,,,A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,Depends on what it is,Upper management at the company/organization,Yes,8,Multiple times per day,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,I'm not sure,A little bit interested,A little bit interested,A little bit interested,A little bit interested,A little bit interested,Between 9:01 - 10:00 AM,9 - 12 hours,1 - 2 hours,Daily or almost every day,,3 - 4 times per week,Male,Straight or heterosexual,"Other doctoral degree (Ph.D, Ed.D., etc.)",East Asian,18 - 24 years old,No,No,The survey was too long,Somewhat easy
214,Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)","1,000 to 4,999 employees",Data scientist or machine learning specialist;Database administrator,9-11 years,3-5 years,Moderately satisfied,Moderately satisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,8.0,10.0,1.0,7.0,3.0,4.0,2.0,6.0,9.0,5.0,2.0,4.0,1.0,11.0,7.0,3.0,6.0,5.0,8.0,9.0,10.0,2.0,1.0,4.0,3.0,5.0,4.0,2.0,1.0,6.0,3.0,5.0,7.0,A friend told me about a job opportunity,U.S. dollars ($),70000.0,Yearly,70000.0,USD,Slack,Three to six months,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon","Questions & answers on Stack Overflow;Tapping your network of friends, family, and peers versed in the technology",I haven’t gotten a developer job,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;Because I find it enjoyable",Agree,Strongly disagree,Disagree,JavaScript;Python;SQL;VBA,C#;Python;R;SQL;VBA,SQL Server;MySQL;PostgreSQL;Amazon Redshift,SQL Server;PostgreSQL;Google Cloud Storage,Amazon Echo;Apple Watch or Apple TV;Arduino;Raspberry Pi,Amazon Echo;Apple Watch or Apple TV;Arduino;Raspberry Pi,,,Notepad++;Visual Studio,Windows,3,Agile;Scrum,I don't use version control,,No,,,Strongly disagree,Neither agree nor disagree,Strongly agree,Stopped going to a website because of their advertising,3.0,2.0,4.0,5.0,1.0,6.0,7.0,"Artificial intelligence surpassing human intelligence (""the singularity"")",Algorithms making important decisions,Prominent industry leaders,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),Daily or almost daily,Yes,A few times per week,"No, I didn't know that Stack Overflow had a jobs board","No, I know what it is but I don't have one",,I'm not sure,Very interested,Not at all interested,A little bit interested,Very interested,A little bit interested,Between 6:01 - 7:00 AM,9 - 12 hours,30 - 59 minutes,3 - 4 times per week,Standing desk;Fatigue-relieving floor mat,I don't typically exercise,Male,,"Other doctoral degree (Ph.D, Ed.D., etc.)",White or of European descent,25 - 34 years old,No,Yes,The survey was too long,Very easy
446,Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",100 to 499 employees,Back-end developer;Data scientist or machine learning specialist,21-23 years,18-20 years,Moderately dissatisfied,Moderately dissatisfied,Working as a founder or co-founder of my own company,I am not interested in new job opportunities,Between 1 and 2 years ago,9.0,1.0,7.0,3.0,5.0,8.0,4.0,6.0,10.0,2.0,1.0,4.0,2.0,8.0,9.0,3.0,10.0,6.0,7.0,11.0,5.0,,,,,,,,,,,,,I saw an employer’s advertisement,U.S. dollars ($),185000.0,Yearly,185000.0,USD,"Confluence;Google Hangouts/Chat;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack",,"Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees",,To improve my general technical skills or programming ability;To build my professional network;To help me find new job opportunities,Agree,Agree,Disagree,Java;JavaScript;Python;R;Scala;SQL;Bash/Shell,F#;Python;Scala;SQL;TypeScript,"MySQL;PostgreSQL;Apache Hive;Amazon Redshift;Amazon RDS/Aurora;Microsoft Azure (Tables, CosmosDB, SQL, etc)","Microsoft Azure (Tables, CosmosDB, SQL, etc)",AWS;Azure,AWS;Azure,Hadoop;Spark,.NET Core;Spark,IntelliJ;PyCharm;Visual Studio Code,MacOS,2,Agile,Git,A few times per week,No,,,Somewhat agree,Somewhat agree,Somewhat disagree,,1.0,4.0,7.0,2.0,3.0,6.0,5.0,Algorithms making important decisions,"Artificial intelligence surpassing human intelligence (""the singularity"")",The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,8,Multiple times per day,Yes,A few times per week,Yes,"No, I have one but it's out of date",8,Yes,Somewhat interested,Not at all interested,Not at all interested,Somewhat interested,A little bit interested,Between 7:01 - 8:00 AM,9 - 12 hours,1 - 2 hours,Never,,3 - 4 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,35 - 44 years old,Yes,Yes,The survey was an appropriate length,Very easy
452,Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A social science (ex. anthropology, psychology, political science)",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist;DevOps specialist;Front-end developer;Full-stack developer;System administrator,3-5 years,3-5 years,Slightly dissatisfied,Moderately satisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,1.0,6.0,3.0,4.0,7.0,9.0,8.0,5.0,10.0,2.0,1.0,3.0,4.0,5.0,11.0,2.0,10.0,9.0,6.0,7.0,8.0,4.0,1.0,5.0,2.0,3.0,2.0,4.0,3.0,5.0,1.0,7.0,6.0,I had a negative experience or interaction at work,U.S. dollars ($),125000.0,Yearly,125000.0,USD,"Google Hangouts/Chat;Office / productivity suite (Microsoft Office, Google Suite, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)",One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",,,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,JavaScript;Python;SQL;Swift;HTML;CSS;Bash/Shell,Erlang;Go;JavaScript;Python;SQL;TypeScript;HTML;CSS;Bash/Shell,MongoDB;SQL Server;MySQL;Amazon RDS/Aurora;Google BigQuery;Elasticsearch,Cassandra;MongoDB;Redis;PostgreSQL;Amazon RDS/Aurora;Elasticsearch,AWS;Google Cloud Platform/App Engine;Serverless;Firebase,AWS;Serverless,Node.js;React,Node.js;React;TensorFlow;Torch/PyTorch,IPython / Jupyter;Visual Studio Code,MacOS,1,Agile;Kanban;Lean,Git,Multiple times per day,Yes,No,,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Clicked on an online advertisement;Stopped going to a website because of their advertising,1.0,6.0,2.0,3.0,4.0,5.0,7.0,Increasing automation of jobs,Increasing automation of jobs,Prominent industry leaders,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,Upper management at the company/organization,Yes,10 (Very Likely),Daily or almost daily,Yes,A few times per month or weekly,Yes,"No, I have one but it's out of date",7,Yes,A little bit interested,Not at all interested,Very interested,Very interested,Somewhat interested,Between 9:01 - 10:00 AM,9 - 12 hours,30 - 59 minutes,Never,Standing desk,1 - 2 times per week,Male,Straight or heterosexual,Associate degree,East Asian,25 - 34 years old,Yes,No,The survey was too long,Very easy
502,No,No,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)",100 to 499 employees,Data scientist or machine learning specialist,15-17 years,9-11 years,Extremely satisfied,Moderately satisfied,Working as a product manager or project manager,I am not interested in new job opportunities,Less than a year ago,10.0,5.0,1.0,8.0,3.0,2.0,6.0,4.0,7.0,9.0,1.0,5.0,2.0,3.0,9.0,8.0,11.0,6.0,4.0,10.0,7.0,,,,,,,,,,,,,I did not receive an expected change in compensation,U.S. dollars ($),113000.0,Yearly,113000.0,USD,"Confluence;Facebook;HipChat;Office / productivity suite (Microsoft Office, Google Suite, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)",Less than a month,"Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",,,Agree,Disagree,Neither Agree nor Disagree,Groovy;Python;R;SQL;HTML;CSS;Bash/Shell,Groovy;Python;R;SQL;HTML;CSS;Bash/Shell,MySQL;Google BigQuery,MySQL;PostgreSQL;Google BigQuery;Google Cloud Storage;Elasticsearch,Linux,AWS;Linux,TensorFlow,Hadoop;Spark;TensorFlow,PyCharm;RStudio;Sublime Text;Vim,MacOS,1,Agile;Kanban;Pair programming,Git,Multiple times per day,No,,,Somewhat disagree,Somewhat disagree,Somewhat agree,Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,2.0,5.0,4.0,6.0,1.0,7.0,3.0,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Increasing automation of jobs,Prominent industry leaders,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,The person who came up with the idea,Yes,10 (Very Likely),A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,No,Extremely interested,Not at all interested,Somewhat interested,Extremely interested,Extremely interested,Between 6:01 - 7:00 AM,5 - 8 hours,30 - 59 minutes,1 - 2 times per week,,I don't typically exercise,Female,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,35 - 44 years old,Yes,No,The survey was an appropriate length,Somewhat difficult
940,Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Data scientist or machine learning specialist;Designer;Front-end developer;Full-stack developer,12-14 years,6-8 years,Moderately satisfied,Slightly satisfied,Working as a founder or co-founder of my own company,I am not interested in new job opportunities,Less than a year ago,8.0,10.0,6.0,5.0,1.0,2.0,3.0,7.0,9.0,4.0,1.0,4.0,2.0,9.0,5.0,10.0,7.0,3.0,11.0,8.0,6.0,,,,,,,,,,,,,I did not receive an expected change in compensation,U.S. dollars ($),83000.0,Yearly,83000.0,USD,Confluence;HipChat;Jira,One to three months,"Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",,,Agree,Agree,Agree,CoffeeScript;Java;JavaScript;PHP;SQL;HTML;CSS,CoffeeScript;JavaScript;PHP;SQL,MongoDB;MySQL;Memcached;Elasticsearch,MongoDB;MySQL;Memcached;Elasticsearch,Raspberry Pi;Firebase,,Angular;Node.js;React;Spring,React;Spring,IntelliJ;Notepad++;Sublime Text;Vim,MacOS,2,,Git,Once a day,Yes,Yes,The ad-blocking software was causing display issues on a website,Strongly disagree,Strongly disagree,Strongly agree,Stopped going to a website because of their advertising;Paid to access a website advertisement-free,5.0,1.0,4.0,6.0,7.0,3.0,2.0,"Artificial intelligence surpassing human intelligence (""the singularity"")",Increasing automation of jobs,A governmental or other regulatory body,I'm worried about the dangers more than I'm excited about the possibilities.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,9,Daily or almost daily,I'm not sure / I can't remember,,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",,,No,Not at all interested,Not at all interested,Somewhat interested,A little bit interested,Very interested,Between 7:01 - 8:00 AM,5 - 8 hours,30 - 59 minutes,Daily or almost every day,Wrist/hand supports or braces,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,25 - 34 years old,No,No,The survey was an appropriate length,Very easy
1099,Yes,No,United States,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","5,000 to 9,999 employees",Data scientist or machine learning specialist;Student,12-14 years,6-8 years,Extremely satisfied,Extremely satisfied,Working in a different or more specialized technical role than the one I'm in now,I am not interested in new job opportunities,Between 1 and 2 years ago,1.0,8.0,4.0,6.0,7.0,5.0,9.0,3.0,10.0,2.0,5.0,2.0,3.0,11.0,6.0,1.0,8.0,7.0,10.0,9.0,4.0,,,,,,,,,,,,,A friend told me about a job opportunity,U.S. dollars ($),40000.0,,40000.0,USD,,Three to six months,"Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course",The official documentation and/or standards for the technology;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;The technology’s online help system,I already had a full-time job as a developer when I began the program,,Strongly agree,Agree,Neither Agree nor Disagree,C;C++;Matlab;Python;Bash/Shell,C;C++;Matlab;Python,Redis,Redis,Linux;Windows Desktop or Server,Linux;Windows Desktop or Server,Torch/PyTorch,Torch/PyTorch,Notepad++;Vim;Visual Studio,Linux-based,2,Formal standard such as ISO 9001 or IEEE 12207 (aka “waterfall” methodologies),Git;Subversion,Weekly or a few times per month,Yes,Yes,The website I was visiting forced me to disable it to access their content;The website I was visiting asked me to disable it;I wanted to support the website I was visiting by viewing their ads,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Stopped going to a website because of their advertising,3.0,1.0,5.0,2.0,6.0,7.0,4.0,,"Artificial intelligence surpassing human intelligence (""the singularity"")",A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,Upper management at the company/organization,Yes,8,Daily or almost daily,Yes,A few times per week,Yes,"No, I have one but it's out of date",9,Yes,Somewhat interested,Extremely interested,Very interested,A little bit interested,Somewhat interested,I do not have a set schedule,9 - 12 hours,1 - 2 hours,3 - 4 times per week,,3 - 4 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,25 - 34 years old,No,No,The survey was an appropriate length,Somewhat easy
1133,Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)",Mathematics or statistics,20 to 99 employees,Data scientist or machine learning specialist,12-14 years,9-11 years,Moderately satisfied,Extremely satisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,9.0,10.0,7.0,1.0,6.0,4.0,3.0,8.0,5.0,2.0,1.0,2.0,6.0,4.0,7.0,3.0,9.0,10.0,5.0,11.0,8.0,5.0,1.0,4.0,3.0,2.0,2.0,6.0,3.0,1.0,4.0,7.0,5.0,I had a negative experience or interaction at work,U.S. dollars ($),300000.0,Yearly,300000.0,USD,"Jira;Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)",Three to six months,"Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",,,Agree,Disagree,Disagree,Java;Python;R;Scala;Bash/Shell,Java;Python;R;Scala;Bash/Shell,,,,,Spark;TensorFlow,,IntelliJ;IPython / Jupyter;RStudio;Sublime Text;Vim,MacOS,2,Agile;Pair programming,Git,Once a day,Yes,No,,Strongly disagree,Strongly disagree,Strongly disagree,,1.0,4.0,6.0,2.0,7.0,5.0,3.0,Increasing automation of jobs,Increasing automation of jobs,A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, and publicly",Upper management at the company/organization,Yes,10 (Very Likely),Multiple times per day,Yes,A few times per month or weekly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",,Yes,Very interested,A little bit interested,Somewhat interested,Very interested,Extremely interested,Between 8:01 - 9:00 AM,9 - 12 hours,30 - 59 minutes,Never,Ergonomic keyboard or mouse,1 - 2 times per week,Female,Gay or Lesbian,"Other doctoral degree (Ph.D, Ed.D., etc.)",White or of European descent,35 - 44 years old,No,No,The survey was too long,Neither easy nor difficult
1247,Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration","10,000 or more employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;DevOps specialist;Full-stack developer;Product manager;QA or test developer,0-2 years,0-2 years,Moderately satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,5.0,10.0,1.0,3.0,2.0,4.0,8.0,6.0,9.0,7.0,1.0,3.0,6.0,8.0,11.0,2.0,4.0,5.0,9.0,10.0,7.0,3.0,1.0,5.0,4.0,2.0,4.0,1.0,6.0,2.0,3.0,5.0,7.0,A recruiter contacted me,U.S. dollars ($),60000.0,,60000.0,USD,"Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack;Other chat system (IRC, proprietary software, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)",Less than a month,"Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology",,,Agree,Disagree,Neither Agree nor Disagree,Java;Python;Ruby;SQL;VBA;HTML;Bash/Shell,JavaScript;Python;SQL;VBA;HTML;Bash/Shell,Redis;SQL Server;MySQL;MariaDB;Amazon RDS/Aurora;Elasticsearch,SQL Server;MySQL;Amazon RDS/Aurora;Elasticsearch,AWS;Azure;Linux;Mac OS;SharePoint;Windows Desktop or Server,AWS;Azure;Linux;Mac OS;SharePoint;Windows Desktop or Server,Django;TensorFlow,TensorFlow;Torch/PyTorch,Atom;Notepad++;PyCharm;Visual Studio,Windows,3,Agile;Scrum,Git;Subversion;Copying and pasting files to network shares;Zip file back-ups,A few times per week,Yes,Yes,The website I was visiting forced me to disable it to access their content;The ad-blocking software was causing display issues on a website;The website I was visiting asked me to disable it,Somewhat agree,Somewhat agree,Neither agree nor disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad),2.0,6.0,1.0,5.0,3.0,4.0,7.0,Algorithms making important decisions,Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",The person who came up with the idea,Yes,10 (Very Likely),Daily or almost daily,I'm not sure / I can't remember,,"No, I didn't know that Stack Overflow had a jobs board",,,I'm not sure,Very interested,Very interested,Very interested,Very interested,Very interested,Between 7:01 - 8:00 AM,9 - 12 hours,Less than 30 minutes,Never,Ergonomic keyboard or mouse,I don't typically exercise,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",White or of European descent,18 - 24 years old,No,No,The survey was an appropriate length,Somewhat easy
