rank,title,total ratings,installs,average rating,growth (30 days),growth (60 days),price,category,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,paid
72,Lost in Harmony,55936,1.0 M,4.61,0.2,0.4,0.0,GAME MUSIC,45276,5129,2099,1069,2359,False
9,Farm Heroes Saga,9014495,100.0 M,4.61,0.5,1.1,0.0,GAME CASUAL,7016344,1171316,426099,123431,277303,False
63,"Эврика! Логические Задачи, Игры и Головоломки",76755,1.0 M,4.48,0.1,0.2,0.0,GAME TRIVIA,55311,12973,2806,1018,4644,False
69,BLOCK STORY,392609,10.0 M,4.39,0.1,0.2,0.0,GAME ROLE PLAYING,284184,46862,22881,9182,29496,False
70,Immortal Taoists-Idle Game of Immortal Cultivation,176947,1.0 M,4.45,1.4,3.4,0.0,GAME WORD,125043,28786,9948,3559,9608,False
38,Dragon Village,557980,5.0 M,4.35,0.1,0.2,0.0,GAME ROLE PLAYING,408426,51219,33933,13281,51119,False
100,Kids Doodle - Color & Draw Free Game,429996,50.0 M,4.36,0.1,0.2,0.0,GAME CASUAL,310114,47203,25825,10204,36649,False
47,Word Crossy - A crossword game,293144,5.0 M,4.21,0.0,0.0,0.0,GAME WORD,174532,58150,28323,10811,21324,False
53,Mahjong Master,206300,10.0 M,4.63,0.2,0.4,0.0,GAME BOARD,158982,31185,8750,2866,4514,False
4,Teen Patti by Octro - Indian Poker Card Game,1487569,50.0 M,4.25,0.1,0.2,0.0,GAME CASINO,1080016,109806,68325,41191,188229,False
17,Bingo Showdown Free Bingo Games – Bingo Live Game,596457,5.0 M,4.62,0.1,0.2,0.0,GAME BOARD,482591,54478,28315,10380,20691,False
38,Farm Heroes Super Saga,1130457,10.0 M,4.53,466.9,0.5,0.0,GAME CASUAL,818274,186770,70036,19493,35881,False
60,DEAD TRIGGER - Offline Zombie Shooter,1476615,10.0 M,4.5,0.2,0.4,0.0,GAME ACTION,1101314,188833,80890,27732,77843,False
33,Word Search,390189,50.0 M,4.46,0.1,0.2,0.0,GAME WORD,260865,79932,29422,6895,13072,False
48,Grand Truck Simulator,724257,10.0 M,4.3,0.3,0.6,0.0,GAME SIMULATION,509616,79114,46744,20563,68218,False
44,Worms Zone .io - Voracious Snake,1965892,100.0 M,4.3,3.1,6.6,0.0,GAME ACTION,1422180,173486,105861,61329,203032,False
57,Clouds & Sheep,661417,10.0 M,4.62,0.2,0.3,0.0,GAME SIMULATION,542466,52916,28121,9989,27922,False
97,Touchgrind Skate 2,268484,10.0 M,3.87,0.6,1.6,0.0,GAME SPORTS,149667,37168,24205,12963,44480,False
25,The Walking Dead: Season Two,675179,10.0 M,4.46,0.1,0.3,0.0,GAME ADVENTURE,525957,54369,28324,14037,52489,False
78,Moy 2 🐙 Virtual Pet Game,539116,10.0 M,4.33,0.2,0.4,0.0,GAME CASUAL,390341,49797,35313,15723,47939,False
76,Criminal Case: Pacific Bay,235645,10.0 M,4.5,0.3,0.7,0.0,GAME ADVENTURE,177063,28537,13355,4930,11758,False
42,Bee Network:Phone-based Digital Currency,92826,5.0 M,4.57,50.7,0.0,0.0,GAME EDUCATIONAL,76045,6405,3335,1345,5694,False
73,Fish Live,601798,10.0 M,4.5,0.0,0.1,0.0,GAME CASUAL,458456,64170,35837,11033,32300,False
65,Kids Animals Jigsaw Puzzles ❤️🦄,67370,10.0 M,4.4,0.6,1.4,0.0,GAME EDUCATIONAL,50050,6981,3036,1697,5603,False
50,Stickman Warriors,872342,50.0 M,4.17,0.2,0.4,0.0,GAME CASUAL,586328,90434,60186,27623,107769,False
51,Free RBX Master,107289,500.0 k,4.2,6.6,13.9,0.0,GAME TRIVIA,78781,6133,3952,2230,16190,False
68,Devil Ninja 2,269698,10.0 M,4.43,0.0,0.1,0.0,GAME ADVENTURE,199868,27382,19150,5624,17672,False
21,Castle Crush: Epic Battle - Free Strategy Games,1281443,10.0 M,4.38,1.1,2.3,0.0,GAME STRATEGY,937488,137379,66995,29199,110379,False
6,Kiloblocks Lite,2078790,100.0 M,3.86,0.0,0.0,0.0,GAME ADVENTURE,1165956,247588,221278,104808,339157,False
85,Sudoku,459534,10.0 M,4.73,0.3,0.7,0.0,GAME PUZZLE,374402,63693,10018,3419,7999,False
78,Best Casino Free Slots: Casino Slot Machine Games,131637,1.0 M,4.29,0.0,0.0,0.0,GAME CASINO,85194,22081,10690,4120,9550,False
21,Word Search,512540,10.0 M,4.69,0.0,0.0,0.0,GAME WORD,278688,96149,40350,11577,28852,False
28,Can you escape the 100 room IV,162035,1.0 M,4.51,1.4,2.9,0.0,GAME TRIVIA,114635,28785,10697,2820,5095,False
78,Harry Potter: Puzzles & Spells - Match-3 Magic,486566,10.0 M,4.71,7.8,21.3,0.0,GAME PUZZLE,414815,37232,13759,6267,14490,False
77,Princess Coloring Book Glitter & Girls Dress Up,57843,10.0 M,3.94,6.6,17.2,0.0,GAME EDUCATIONAL,35613,4938,4467,3839,8984,False
88,BombSquad,894527,10.0 M,4.37,0.7,1.4,0.0,GAME ACTION,651347,95352,49355,22598,75872,False
22,Scary Teacher 3D,1152884,50.0 M,4.29,5.2,11.2,0.0,GAME SIMULATION,833557,101693,57332,36121,124178,False
37,World War Heroes: WW2 FPS,2346568,50.0 M,4.49,2.1,5.3,0.0,GAME ACTION,1845954,194520,89226,48016,168849,False
6,Fallout Shelter,3401011,10.0 M,4.55,0.3,0.7,0.0,GAME SIMULATION,2515746,553578,155659,53458,122568,False
38,Cyber Hunter,487043,10.0 M,4.02,0.6,1.3,0.0,GAME ADVENTURE,309857,48747,32454,19174,76808,False
88,Spider Solitaire,105501,5.0 M,4.61,0.4,0.9,0.0,GAME CARD,80062,17295,3387,1438,3317,False
60,Make More! – Idle Manager,636844,10.0 M,4.43,0.6,1.5,0.0,GAME SIMULATION,468935,71311,38696,16770,41129,False
2,Slotomania™ Free Slots: Casino Slot Machine Games,1792212,50.0 M,4.38,0.7,1.6,0.0,GAME CASINO,1263458,251809,100067,44114,132761,False
92,Spider Rope Hero - Gangster New York City,184346,10.0 M,4.32,5.4,18.3,0.0,GAME ADVENTURE,142535,8350,6434,4587,22437,False
66,Magic Rampage,401487,10.0 M,4.63,1.8,4.3,0.0,GAME ROLE PLAYING,323804,42745,13972,5158,15805,False
98,城堡爭霸 - 聯盟霸業,276353,1.0 M,4.56,0.1,0.1,0.0,GAME STRATEGY,224926,19886,9967,3759,17813,False
7,Chess,1514642,100.0 M,4.36,2.4,5.0,0.0,GAME BOARD,1060550,206896,93112,38989,115093,False
62,Dice With Buddies™ Free - The Fun Social Dice Game,182457,5.0 M,4.15,0.2,0.5,0.0,GAME BOARD,114198,27619,13179,8689,18769,False
59,Multiplayer for Minecraft PE - MCPE Servers,785634,10.0 M,3.95,0.6,1.4,0.0,GAME ARCADE,519219,44419,40672,27978,153344,False
40,Six-Guns: Gang Showdown,2080344,10.0 M,4.11,0.1,0.2,0.0,GAME ACTION,1401485,187513,116968,64362,310015,False
68,Bini Drawing for Kids! Learning Games for Toddlers,63527,10.0 M,4.15,2.4,5.4,0.0,GAME EDUCATIONAL,43289,5877,3420,2356,8582,False
100,Tank Hero,437588,10.0 M,4.34,0.1,0.2,0.0,GAME ARCADE,308926,54591,26725,10594,36750,False
79,Egg Wars,231968,10.0 M,4.17,2.7,6.5,0.0,GAME ADVENTURE,162130,18965,11582,7008,32282,False
12,"Math Games, Learn Add, Subtract, Multiply & Divide",188835,10.0 M,4.41,4.4,9.2,0.0,GAME EDUCATIONAL,144308,15516,8064,4787,16158,False
70,グランブルーファンタジー,391022,1.0 M,4.14,0.0,0.0,0.0,GAME ROLE PLAYING,195925,104411,60059,10828,19796,False
10,Pepi House: Happy Family,197882,10.0 M,4.02,1555.5,4.2,0.0,GAME EDUCATIONAL,126824,18698,12183,9423,30752,False
16,Rise of Kingdoms: Lost Crusade,1596863,10.0 M,4.18,1.8,4.4,0.0,GAME STRATEGY,1090428,176528,72373,37306,220225,False
92,Flags of All Countries of the World: Guess-Quiz,47640,5.0 M,4.21,1.5,3.6,0.0,GAME TRIVIA,30447,6973,3927,2166,4124,False
1,Trivia Crack,7271580,100.0 M,4.27,0.4,0.9,0.0,GAME TRIVIA,4813526,1133845,451590,194961,677655,False
18,Fishing Clash,1298159,50.0 M,4.64,2.3,5.1,0.0,GAME SIMULATION,1084764,98243,35587,17455,62108,False
8,World of Tanks Blitz PVP MMO 3D tank game for free,3586366,100.0 M,4.25,1.4,2.9,0.0,GAME STRATEGY,2518374,383289,170563,100826,413311,False
75,Truth or Dare,59446,1.0 M,4.42,1.3,3.0,0.0,GAME TRIVIA,43119,7849,3074,1243,4158,False
36,GSN Casino: New Slots and Casino Games,316657,10.0 M,4.25,0.2,0.5,0.0,GAME CASINO,218480,35402,19799,10788,32186,False
67,Monster High™ Beauty Shop: Fangtastic Fashion Game,400588,10.0 M,4.21,2.3,4.8,0.0,GAME ROLE PLAYING,269917,46353,25781,15223,43312,False
71,Car Simulator 2,545476,10.0 M,4.44,4.7,9.1,0.0,GAME SIMULATION,422460,43970,20373,12679,45991,False
83,Postknight,354599,5.0 M,4.72,1.0,2.7,0.0,GAME ROLE PLAYING,296919,34870,11822,3987,6998,False
9,Jackpot Party Casino Games: Spin FREE Casino Slots,907446,10.0 M,4.52,0.9,1.7,0.0,GAME CASINO,658045,149715,51754,13672,34257,False
70,Fire Emblem Heroes,549615,5.0 M,4.36,0.7,1.7,0.0,GAME SIMULATION,379443,83202,31636,14528,40804,False
58,Tailor Kids,75306,10.0 M,4.33,0.1,0.2,0.0,GAME EDUCATIONAL,53460,7275,6406,2105,6057,False
20,Empire: Four Kingdoms | Medieval Strategy MMO,1317635,50.0 M,4.11,0.1,0.1,0.0,GAME STRATEGY,817422,192799,100300,44307,162805,False
58,Backgammon Free - Lord of the Board - Table Game,191039,5.0 M,4.23,2.7,6.3,0.0,GAME BOARD,141982,11168,5861,3967,28059,False
49,Final Fantasy XV: A New Empire,569020,10.0 M,3.63,0.1,0.3,0.0,GAME STRATEGY,305624,59345,36278,24555,143216,False
12,Pooking - Billiards City,2544608,100.0 M,4.42,2.2,4.5,0.0,GAME SPORTS,1805981,369736,161120,59393,148375,False
35,Shooting World - Gun Fire,1003990,50.0 M,4.6,0.5,1.1,0.0,GAME SPORTS,798902,106809,40829,15528,41919,False
55,Polskie Złote Zdrapki,163407,1.0 M,4.56,0.1,0.2,0.0,GAME CARD,123647,22528,8705,2558,5966,False
82,Heavy Bus Simulator,443024,10.0 M,4.12,0.5,1.2,0.0,GAME SIMULATION,291648,49212,26985,15391,59786,False
26,Big Fish Casino - Play Slots and Casino Games,402257,10.0 M,4.52,0.0,0.0,0.0,GAME CASINO,304175,52497,17452,6363,21768,False
100,Prison Empire Tycoon - Idle Game,379807,10.0 M,4.37,3.4,6.8,0.0,GAME SIMULATION,251581,70390,25635,10303,21896,False
58,Coin Dozer: Casino,181512,5.0 M,4.56,0.5,1.0,0.0,GAME CASINO,140249,20511,10115,3618,7016,False
36,Racing Moto,877117,100.0 M,4.17,0.3,0.7,0.0,GAME RACING,601429,77202,54428,31863,112192,False
40,Trivia Survival 100,130720,1.0 M,4.31,0.1,0.3,0.0,GAME TRIVIA,92263,15021,7898,2990,12547,False
75,Real Piano Teacher 2,54530,1.0 M,4.3,1.0,2.5,0.0,GAME MUSIC,36769,7367,4612,1807,3973,False
7,Call of Duty®: Mobile - Day of Reckoning,13020115,100.0 M,4.47,2.8,5.1,0.0,GAME ACTION,10079925,1210326,488294,261610,979958,False
21,June's Journey - Hidden Objects,798250,10.0 M,4.42,358.4,4.7,0.0,GAME ADVENTURE,550170,144254,38618,17042,48164,False
31,Beat Craft,157011,5.0 M,4.41,1.0,2.3,0.0,GAME MUSIC,112496,21245,9078,3736,10453,False
12,لعبة كلمة السر : الجزء الثاني,796465,10.0 M,4.68,1.3,2.8,0.0,GAME WORD,683334,43008,29632,10747,29742,False
35,Bingo Party - Free Classic Bingo Games Online,309585,5.0 M,4.62,0.7,1.5,0.0,GAME BOARD,245490,34351,15626,5188,8927,False
81,Nonogram.com - Picture cross number puzzle,479457,10.0 M,4.51,4.2,11.2,0.0,GAME PUZZLE,330120,99019,28006,7686,14624,False
31,Lily’s Garden,1023370,10.0 M,4.63,2.4,6.6,0.0,GAME PUZZLE,819617,113083,42295,16515,31858,False
85,Survival Island: EVO 2,211749,10.0 M,3.82,0.1,0.2,0.0,GAME ADVENTURE,119993,23498,18989,9269,39997,False
65,Trivia Crack (No Ads),74594,500.0 k,4.58,0.9,2.2,1.99,GAME TRIVIA,55411,12625,3123,1117,2315,True
67,Spider Solitaire,139406,10.0 M,4.57,0.5,1.1,0.0,GAME CARD,92957,20349,4987,1306,3760,False
61,Virtual Families 2,678631,10.0 M,4.15,0.0,0.1,0.0,GAME CASUAL,431803,90825,55961,24391,75649,False
67,Raft Survival: Ocean Nomad - Simulator,585446,50.0 M,4.35,5.4,12.4,0.0,GAME SIMULATION,418289,65048,36692,17378,48037,False
53,Romance Club - Stories I Play,692265,10.0 M,4.46,1.3,2.6,0.0,GAME SIMULATION,520257,77627,32945,14479,46953,False
64,Linda Brown: Interactive Story,617523,10.0 M,4.05,0.3,0.7,0.0,GAME SIMULATION,396351,65978,37579,23264,94348,False
89,Dr. Chess,100137,1.0 M,4.28,0.0,0.1,0.0,GAME BOARD,68495,12682,7061,2562,9335,False
56,Magic Jigsaw Puzzles - Puzzle Games,601215,50.0 M,4.66,2.6,5.6,0.0,GAME PUZZLE,497049,54452,18969,8531,22212,False
56,Guess The Movie ®,94798,1.0 M,3.37,0.2,0.3,0.0,GAME TRIVIA,31819,18522,15734,9990,18731,False
17,Word search,644050,50.0 M,4.46,0.0,0.0,0.0,GAME WORD,437940,122546,48501,10336,24724,False
98,Project: Muse,40251,1.0 M,4.22,1.2,2.8,0.0,GAME MUSIC,25051,6799,3638,1779,2982,False
94,Jackpot Poker by PokerStars™ – FREE Poker Online,100896,1.0 M,4.29,0.3,0.5,0.0,GAME CASINO,72149,11548,3639,1749,11808,False
99,Stickman Downhill Motocross,283083,10.0 M,4.44,0.0,0.0,0.0,GAME RACING,206153,35762,17861,5464,17841,False
68,6ix9ine Runner,64650,5.0 M,4.52,2.3,7.0,0.0,GAME MUSIC,52372,4367,1969,1074,4865,False
87,Crazy Kitchen: Match 3 Puzzles,459073,10.0 M,4.78,0.0,0.0,0.0,GAME PUZZLE,398876,37883,11929,3112,7271,False
90,AVATAR MUSIK INDONESIA - Social Dancing Game,43277,1.0 M,3.68,0.2,0.5,0.0,GAME MUSIC,25097,2845,2505,1996,10831,False
