name,ID,SEX,ALIVE,COMPANY,ALIGN
Spider-Man (Peter Parker),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Captain America (Steven Rogers),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Batman (Bruce Wayne),Secret Identity,Male Characters,Living Characters,DC,Good Characters
"Wolverine (James \""Logan\"" Howlett)",Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
"Iron Man (Anthony \""Tony\"" Stark)",Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Superman (Clark Kent),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Benjamin Grimm (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Reed Richards (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Hulk (Robert Bruce Banner),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Scott Summers (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Jonathan Storm (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Henry McCoy (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Susan Storm (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Good Characters
Green Lantern (Hal Jordan),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Ororo Munroe (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Good Characters
Clinton Barton (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Matthew Murdock (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
James Gordon (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Stephen Strange (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Robert Drake (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Richard Grayson (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Henry Pym (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Charles Xavier (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Good Characters
Wonder Woman (Diana Prince),Public Identity,Female Characters,Living Characters,DC,Good Characters
Warren Worthington III (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Piotr Rasputin (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Wanda Maximoff (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Good Characters
Aquaman (Arthur Curry),Public Identity,Male Characters,Living Characters,DC,Good Characters
