name,ID,SEX,ALIVE,COMPANY,ALIGN
Wilson Fisk (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
Joker (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Kent Nelson (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Good Characters
Timothy Dugan (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Good Characters
Samuel Wilson (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Hulk (Robert Bruce Banner),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Reed Richards (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Benjamin Grimm (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
"Iron Man (Anthony \""Tony\"" Stark)",Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Jessica Drew (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Johnathon Blaze (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Brian Braddock (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Dane Whitman (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Captain America (Steven Rogers),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Crystalia Amaquelin (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Good Characters
Superman (Clark Kent),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Batman (Bruce Wayne),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Franklin Rock (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Cassandra Sandsmark (New Earth),Public Identity,Female Characters,Living Characters,DC,Good Characters
Garth (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Good Characters
James Rhodes (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Deadpool (Wade Wilson),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Odin Borson (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Otto Octavius (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
"Wolverine (James \""Logan\"" Howlett)",Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
